2014年10月16日 外資及陸資買賣超彙總表 (股)
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數"
" ","2384  ","勝華  ","123143570","3309000","119834570",
" ","3045  ","台灣大","11804000","2266585","9537415",
" ","3474  ","華亞科","15943000","7828017","8114983",
" ","2610  ","華航  ","11097000","3282000","7815000",
" ","2002  ","中鋼  ","14907880","8124096","6783784",
" ","1216  ","統一  ","18310165","13228110","5082055",
" ","6116  ","彩晶  ","11592000","7332771","4259229",
" ","4904  ","遠傳  ","9090000","5464559","3625441",
" ","2615  ","萬海  ","3931701","957000","2974701",
" ","2498  ","宏達電","2737769","344552","2393217",
" ","2352  ","佳世達","5590000","3198000","2392000",
" ","6282  ","康舒  ","2360000","103000","2257000",
" ","1314  ","中石化","4627000","2411000","2216000",
" ","2885  ","元大金","8113000","6146725","1966275",
" ","2890  ","永豐金","6235364","4279415","1955949",
" ","2412  ","中華電","5759000","4129987","1629013",
" ","2809  ","京城銀","2670000","1304212","1365788",
" ","2892  ","第一金","10347000","8985512","1361488",
" ","6271  ","同欣電","1118000","96000","1022000",
" ","2107  ","厚生  ","1421000","413244","1007756",
" ","2347  ","聯強  ","2356000","1377000","979000",
" ","2329  ","華泰  ","1104000","167000","937000",
" ","4906  ","正文  ","971000","74000","897000",
" ","1605  ","華新  ","3121000","2227000","894000",
" ","2367  ","燿華  ","1192000","306000","886000",
" ","6269  ","台郡  ","1281000","450599","830401",
" ","2457  ","飛宏  ","952000","174000","778000",
" ","2448  ","晶電  ","3767000","2996000","771000",
" ","1711  ","永光  ","782000","39000","743000",
" ","2475  ","華映  ","1215000","485000","730000",
" ","2383  ","台光電","1022000","332000","690000",
" ","2547  ","日勝生","1290000","606000","684000",
" ","8103  ","瀚荃  ","631000","40000","591000",
" ","2492  ","華新科","608000","88000","520000",
" ","2886  ","兆豐金","11018000","10515767","502233",
" ","2823  ","中壽  ","3807000","3312885","494115",
" ","2312  ","金寶  ","2680491","2195000","485491",
" ","9917  ","中保  ","542000","78000","464000",
" ","2884  ","玉山金","4301150","3856589","444561",
" ","3030  ","德律  ","510000","80000","430000",
" ","3049  ","和鑫  ","475000","54000","421000",
" ","6153  ","嘉聯益","1349000","935757","413243",
" ","2520  ","冠德  ","560000","156000","404000",
" ","3057  ","喬鼎  ","1021000","650000","371000",
" ","6166  ","凌華  ","382000","12000","370000",
" ","8112  ","至上  ","409000","50000","359000",
" ","1409  ","新纖  ","664000","316000","348000",
" ","2455  ","全新  ","392000","45000","347000",
" ","3013  ","晟銘電","343000","2000","341000",
" ","5264  ","F-鎧勝","763000","437000","326000",
" ","2472  ","立隆電","371000","46000","325000",
" ","6206  ","飛捷  ","353051","38000","315051",
" ","910322","康師傅","314000","0","314000",
" ","3036  ","文曄  ","394157","84000","310157",
" ","6120  ","輔祥  ","520000","215000","305000",
" ","1527  ","鑽全  ","402000","111000","291000",
" ","3022  ","威強電","883000","599000","284000",
" ","2426  ","鼎元  ","339000","57000","282000",
" ","9938  ","百和  ","527000","256000","271000",
" ","1312  ","國喬  ","660000","392000","268000",
" ","1444  ","力麗  ","419000","158000","261000",
" ",="0057  ","FB摩台","258000","0","258000",
" ","4106  ","雃博  ","356000","99918","256082",
" ","9914  ","美利達","606000","350150","255850",
" ","6165  ","捷泰  ","280000","25000","255000",
" ","3665  ","F-貿聯","383000","136000","247000",
" ","3047  ","訊舟  ","250000","11000","239000",
" ","1477  ","聚陽  ","567000","335000","232000",
" ","1460  ","宏遠  ","333000","103000","230000",
" ","8021  ","尖點  ","464000","236000","228000",
" ","2431  ","聯昌  ","243000","16000","227000",
" ","6168  ","宏齊  ","264000","38000","226000",
" ","9945  ","潤泰新","1715800","1492172","223628",
" ","1225  ","福懋油","226000","3000","223000",
" ","2601  ","益航  ","291000","68000","223000",
" ","1560  ","中砂  ","357000","137000","220000",
" ","3698  ","隆達  ","817000","598000","219000",
" ","6415  ","F-矽力","603000","385813","217187",
" ","3605  ","宏致  ","237000","23000","214000",
" ","3514  ","昱晶  ","361000","152020","208980",
" ","1210  ","大成  ","444000","238381","205619",
" ","2428  ","興勤  ","214000","9000","205000",
" ","3032  ","偉訓  ","206000","2000","204000",
" ","3622  ","洋華  ","469000","267000","202000",
" ","6243  ","迅杰  ","203000","1000","202000",
" ","2387  ","精元  ","276000","77000","199000",
" ","8926  ","台汽電","345000","147000","198000",
" ","1904  ","正隆  ","608300","411000","197300",
" ","1476  ","儒鴻  ","536000","343460","192540",
" ","6257  ","矽格  ","532000","342000","190000",
" ","3406  ","玉晶光","348000","162000","186000",
" ","3450  ","聯鈞  ","224000","38000","186000",
" ","3034  ","聯詠  ","1644000","1459000","185000",
" ","3311  ","閎暉  ","254000","69000","185000",
" ","3019  ","亞光  ","592000","409000","183000",
" ","2379  ","瑞昱  ","1717448","1538404","179044",
" ","2355  ","敬鵬  ","554000","376000","178000",
" ","5388  ","中磊  ","397000","219000","178000",
" ","6412  ","群電  ","408000","230000","178000",
" ","2323  ","中環  ","815000","639000","176000",
" ","2903  ","遠百  ","2036596","1862203","174393",
" ","1215  ","卜蜂  ","317259","148282","168977",
" ","3017  ","奇鋐  ","433000","269000","164000",
" ","2459  ","敦吉  ","283000","121685","161315",
" ","2406  ","國碩  ","321000","162000","159000",
" ","9802  ","F-鈺齊","162000","3000","159000",
" ","4141  ","F-龍燈","186000","28000","158000",
" ","3494  ","誠研  ","173000","18000","155000",
" ",="077181","永昌75","549000","397000","152000",
" ","3094  ","聯傑  ","187000","35000","152000",
" ","8261  ","富鼎  ","161000","9000","152000",
" ","8046  ","南電  ","638000","488000","150000",
" ","2328  ","廣宇  ","247000","99000","148000",
" ","3706  ","神達  ","324000","176000","148000",
" ","1729  ","必翔  ","212000","68000","144000",
" ","2482  ","連宇  ","159000","15000","144000",
" ","3014  ","聯陽  ","182000","40000","142000",
" ","9136  ","巨騰  ","138000","0","138000",
" ","1589  ","F-永冠","188000","51000","137000",
" ","2405  ","浩鑫  ","176000","39000","137000",
" ","2340  ","光磊  ","259000","125000","134000",
" ","2443  ","新利虹","136000","5000","131000",
" ","2420  ","新巨  ","221000","91000","130000",
" ","6197  ","佳必琪","132000","2000","130000",
" ","1582  ","信錦  ","221221","92000","129221",
" ","5215  ","F-科嘉","134000","7000","127000",
" ","3011  ","今皓  ","126000","0","126000",
" ","3149  ","正達  ","168000","42000","126000",
" ","3598  ","奕力  ","240000","114000","126000",
" ","9935  ","慶豐富","127000","1000","126000",
" ","3008  ","大立光","449000","326309","122691",
" ","3653  ","健策  ","144000","22000","122000",
" ","5305  ","敦南  ","123000","1000","122000",
" ","3056  ","總太  ","164000","45000","119000",
" ","4725  ","信昌化","179000","62000","117000",
" ","2363  ","矽統  ","184000","68000","116000",
" ","2911  ","麗嬰房","150000","35000","115000",
" ","3031  ","佰鴻  ","122000","10000","112000",
" ","6214  ","精誠  ","260000","148000","112000",
" ","5203  ","訊連  ","182000","72000","110000",
" ","2495  ","普安  ","259000","153000","106000",
" ",="0053  ","寶電子","105000","0","105000",
" ",="0054  ","台商50","100000","0","100000",
" ",="006203","寶摩臺","100000","0","100000",
" ","3054  ","萬國  ","102000","3000","99000",
" ","3584  ","介面  ","307000","209000","98000",
" ","6605  ","帝寶  ","126000","28000","98000",
" ","2511  ","太子  ","407000","309039","97961",
" ","1611  ","中電  ","195000","98000","97000",
" ","2104  ","中橡  ","428000","333096","94904",
" ","2049  ","上銀  ","572000","478914","93086",
" ","2327  ","國巨  ","1549000","1456266","92734",
" ","6215  ","和椿  ","108000","16000","92000",
" ","6283  ","淳安  ","93000","1000","92000",
" ","1907  ","永豐餘","449000","359000","90000",
" ","3607  ","谷崧  ","151000","64000","87000",
" ","1736  ","喬山  ","154000","69000","85000",
" ","2028  ","威致  ","87000","2000","85000",
" ","2548  ","華固  ","387000","302000","85000",
" ","2401  ","凌陽  ","409000","325000","84000",
" ","2923  ","F-鼎固","176000","93000","83000",
" ","6230  ","超眾  ","124000","41000","83000",
" ","4144  ","F-康聯","102000","21000","81000",
" ","3038  ","全台  ","142000","62000","80000",
" ","4952  ","凌通  ","99000","20000","79000",
" ","9944  ","新麗  ","78000","1000","77000",
" ","8105  ","凌巨  ","177000","102000","75000",
" ","1783  ","和康生","95000","23000","72000",
" ","4956  ","光鋐  ","73000","1000","72000",
" ","2020  ","美亞  ","88000","20000","68000",
" ","3573  ","穎台  ","117000","49000","68000",
" ","2332  ","友訊  ","459000","392000","67000",
" ","4919  ","新唐  ","103000","36000","67000",
" ","2488  ","漢平  ","66000","2000","64000",
" ","2536  ","宏普  ","214000","150000","64000",
" ","3024  ","憶聲  ","74000","10000","64000",
" ","9911  ","櫻花  ","105000","43000","62000",
